Date,Open Price,High Price,Low Price,Close Price,Volume
2/26/2024,182.24,182.76,180.65,181.16,40.9
2/27/2024,181.10,183.92,179.56,182.63,54.3
2/28/2024,182.51,183.12,180.13,181.42,49.0
2/29/2024,181.27,182.57,179.53,180.75,136.7
3/1/2024,179.55,180.53,177.38,179.66,73.6
3/2/2024,,,,,
3/3/2024,,,,,
3/4/2024,176.15,176.90,173.79,175.10,81.5
3/5/2024,170.76,172.04,169.62,170.12,95.1
3/6/2024,171.06,171.24,168.68,169.12,68.6
3/7/2024,169.15,170.73,168.49,169.00,71.8
3/8/2024,169.00,173.70,168.94,170.73,76.3
3/9/2024,,,,,
3/10/2024,,,,,
3/11/2024,172.94,174.38,172.05,172.75,60.1
3/12/2024,173.15,174.03,171.01,173.23,59.8
3/13/2024,172.77,173.19,170.76,171.13,52.5
3/14/2024,172.91,174.31,172.05,173.00,72.9
3/15/2024,171.17,172.62,170.28,172.62,121.8
3/16/2024,,,,,
3/17/2024,,,,,
3/18/2024,175.57,177.71,173.52,173.72,75.6
3/19/2024,174.34,176.60,173.03,176.08,55.2
3/20/2024,175.72,178.67,175.09,178.67,53.4
3/21/2024,177.05,177.49,170.84,171.37,106.2
3/22/2024,171.76,173.05,170.06,172.28,71.2
3/23/2024,,,,,
3/24/2024,,,,,
3/25/2024,170.56,171.94,169.45,170.85,54.3
3/26/2024,170.00,171.42,169.58,169.71,57.4
3/27/2024,170.41,173.60,170.11,173.31,60.3
3/28/2024,171.75,172.23,170.51,171.48,65.7
3/29/2024,,,,,
3/30/2024,,,,,
3/31/2024,,,,,
4/1/2024,171.19,171.25,169.47,170.03,46.2
4/2/2024,169.08,169.34,168.23,168.84,49.3
4/3/2024,168.79,170.68,168.58,169.65,47.7
4/4/2024,170.29,171.92,168.82,168.82,53.7
4/5/2024,169.59,170.39,168.95,169.58,42.1
4/6/2024,,,,,
4/7/2024,,,,,
4/8/2024,169.03,169.20,168.24,168.45,37.4
4/9/2024,168.70,170.08,168.35,169.67,42.5
4/10/2024,168.80,169.09,167.11,167.78,49.7
4/11/2024,168.34,175.46,168.16,175.04,91.1
4/12/2024,174.26,178.36,174.21,176.55,101.7
4/13/2024,,,,,
4/14/2024,,,,,
4/15/2024,175.36,176.63,172.50,172.69,73.5
4/16/2024,171.75,173.76,168.27,169.38,73.7
4/17/2024,169.61,170.65,168.00,168.00,49.7
4/18/2024,168.03,168.64,166.55,167.04,41.6
4/19/2024,166.21,166.40,164.07,165.00,68.1
4/20/2024,,,,,
4/21/2024,,,,,
4/22/2024,165.51,167.26,164.77,165.84,47.9
4/23/2024,165.35,167.05,164.92,166.90,48.9
4/24/2024,166.54,169.30,166.21,169.02,47.4
4/25/2024,169.53,170.61,168.15,169.89,49.8
4/26/2024,169.88,171.34,169.18,169.30,44.8
4/27/2024,,,,,
4/28/2024,,,,,
4/29/2024,173.37,176.03,173.10,173.50,66.2
4/30/2024,173.33,174.99,170.00,170.33,65.4
5/1/2024,169.58,172.71,169.11,169.30,49.9
5/2/2024,172.51,173.41,170.89,173.03,71.8
5/3/2024,186.65,187.00,182.66,183.38,163.2
5/4/2024,,,,,
5/5/2024,,,,,
5/6/2024,182.35,184.20,180.42,181.71,76.3
5/7/2024,183.45,184.90,181.32,182.40,73.3
5/8/2024,182.85,183.07,181.45,182.74,44.0
5/9/2024,182.56,184.66,182.11,184.57,47.1
5/10/2024,184.90,185.09,182.13,183.05,50.8
5/11/2024,,,,,
5/12/2024,,,,,
5/13/2024,185.44,187.10,184.62,186.28,70.2
5/14/2024,187.51,188.30,186.29,187.43,50.5
5/15/2024,187.91,190.65,187.37,189.72,70.2
5/16/2024,190.47,191.09,189.66,189.84,52.1
5/17/2024,189.51,190.81,189.18,189.87,41.3
5/18/2024,,,,,
5/19/2024,,,,,
5/20/2024,189.32,191.92,189.01,191.04,44.2
5/21/2024,191.09,192.73,190.92,192.35,42.0
5/22/2024,192.26,192.82,190.27,190.90,34.1
5/23/2024,190.98,191.00,186.63,186.88,50.5
5/24/2024,188.82,190.58,188.04,189.98,36.3
5/25/2024,,,,,
5/26/2024,,,,,
5/27/2024,,,,,
5/28/2024,191.51,193.00,189.10,189.99,52.1
5/29/2024,189.61,192.25,189.51,190.29,52.7
5/30/2024,190.76,192.18,190.63,191.29,49.6
5/31/2024,191.44,192.57,189.91,192.25,75.2
6/1/2024,,,,,
6/2/2024,,,,,
6/3/2024,192.90,194.99,192.52,194.03,49.9
6/4/2024,194.63,195.32,193.03,194.35,45.4
6/5/2024,195.40,196.90,194.87,195.87,53.1
6/6/2024,195.69,196.50,194.17,194.48,41.0
6/7/2024,194.65,196.94,194.14,196.89,53.1
6/8/2024,,,,,
6/9/2024,,,,,
6/10/2024,196.90,197.30,192.15,193.12,95.3
6/11/2024,193.65,207.16,193.63,207.15,169.0
6/12/2024,207.37,220.20,206.90,213.07,194.5
6/13/2024,214.74,216.75,211.60,214.24,96.5
6/14/2024,213.85,215.17,211.30,212.49,70.1
6/15/2024,,,,,
6/16/2024,,,,,
6/17/2024,213.37,218.95,212.72,216.67,93.2
6/18/2024,217.59,218.63,213.00,214.29,79.9
6/19/2024,,,,,
6/20/2024,213.93,214.24,208.85,209.68,84.3
6/21/2024,210.39,211.89,207.11,207.49,246.4
6/22/2024,,,,,
6/23/2024,,,,,
6/24/2024,207.72,212.70,206.59,208.14,79.8
6/25/2024,209.15,211.38,208.61,209.07,55.5
6/26/2024,211.50,214.86,210.64,213.25,64.3
6/27/2024,214.69,215.74,212.35,214.10,49.6
6/28/2024,215.77,216.07,210.30,210.62,82.5
6/29/2024,,,,,
6/30/2024,,,,,
7/1/2024,212.09,217.51,211.92,216.75,60.1
7/2/2024,216.15,220.38,215.10,220.27,57.5
7/3/2024,220.00,221.55,219.03,221.55,37.4
7/4/2024,,,,,
7/5/2024,221.65,226.45,221.65,226.34,60.4
7/6/2024,,,,,
7/7/2024,,,,,
7/8/2024,227.09,227.85,223.25,227.82,58.8
7/9/2024,227.93,229.40,226.37,228.68,47.9
7/10/2024,229.30,233.08,229.25,232.98,62.4
7/11/2024,231.39,232.39,225.77,227.57,64.3
7/12/2024,228.92,232.64,228.68,230.54,53.0
7/13/2024,,,,,
7/14/2024,,,,,
7/15/2024,236.48,237.23,233.09,234.40,61.6
7/16/2024,235.00,236.27,232.33,234.82,41.8
7/17/2024,229.45,231.46,226.64,228.88,55.7
7/18/2024,230.28,230.44,222.27,224.18,65.1
7/19/2024,224.82,226.80,223.28,224.31,49.2
7/20/2024,,,,,
7/21/2024,,,,,
7/22/2024,227.01,227.78,223.09,223.96,46.0
7/23/2024,224.37,226.94,222.68,225.01,36.6
7/24/2024,224.00,224.80,217.13,218.54,59.6
7/25/2024,218.93,220.85,214.62,217.49,51.2
7/26/2024,218.70,219.49,216.01,217.96,41.6
7/27/2024,,,,,
7/28/2024,,,,,
7/29/2024,216.96,219.30,215.75,218.24,36.1
7/30/2024,219.19,220.32,216.12,218.80,40.1
7/31/2024,221.44,223.82,220.63,222.08,49.0
8/1/2024,224.37,224.48,217.02,218.36,55.4
8/2/2024,219.15,225.60,217.71,219.86,105.6
8/3/2024,,,,,
8/4/2024,,,,,
8/5/2024,199.09,213.50,196.00,209.27,117.5
8/6/2024,205.30,209.99,201.07,207.23,66.8
8/7/2024,206.90,213.64,206.39,209.82,59.3
8/8/2024,213.11,214.20,208.83,213.31,44.6
8/9/2024,212.10,216.78,211.97,216.24,42.2
8/10/2024,,,,,
8/11/2024,,,,,
8/12/2024,216.07,219.51,215.60,217.53,37.6
8/13/2024,219.01,221.89,219.01,221.27,41.5
8/14/2024,220.57,223.03,219.70,221.72,39.8
8/15/2024,224.60,225.35,222.76,224.72,45.2
8/16/2024,223.92,226.83,223.65,226.05,44.3
8/17/2024,,,,,
8/18/2024,,,,,
8/19/2024,225.72,225.99,223.04,225.89,40.0
8/20/2024,225.77,227.17,225.45,226.51,30.3
8/21/2024,226.52,227.98,225.05,226.40,34.8
8/22/2024,227.79,228.34,223.90,224.53,43.7
8/23/2024,225.66,228.22,224.33,226.84,38.7
8/24/2024,,,,,
8/25/2024,,,,,
8/26/2024,226.76,227.28,223.89,227.18,30.6
8/27/2024,226.00,228.85,224.89,228.03,35.9
8/28/2024,227.92,229.86,225.68,226.49,38.1
8/29/2024,230.10,232.92,228.88,229.79,51.9
8/30/2024,230.19,230.40,227.48,229.00,53.0
8/31/2024,,,,,
9/1/2024,,,,,
9/2/2024,,,,,
9/3/2024,228.55,229.00,221.17,222.77,50.2
9/4/2024,221.66,221.78,217.48,220.85,43.8
9/5/2024,221.63,225.48,221.52,222.38,36.6
9/6/2024,223.95,225.24,219.77,220.82,48.4
9/7/2024,,,,,
9/8/2024,,,,,
9/9/2024,,,,,
9/10/2024,,,,,
9/11/2024,,,,,
9/12/2024,222.50,223.55,219.82,222.77,37.5
9/13/2024,223.58,224.04,221.91,222.50,36.8
9/14/2024,,,,,
9/15/2024,,,,,
9/16/2024,216.54,217.22,213.92,216.32,59.4
9/17/2024,215.75,216.90,214.50,216.79,45.5
9/18/2024,217.55,222.71,217.54,220.69,59.9
9/19/2024,224.99,229.82,224.63,228.87,66.8
9/20/2024,229.97,233.09,227.62,228.20,318.7
9/21/2024,,,,,
9/22/2024,,,,,
9/23/2024,227.34,229.45,225.81,226.47,54.1
9/24/2024,228.65,229.35,225.73,227.37,43.6
9/25/2024,224.93,227.29,224.02,226.37,42.3
9/26/2024,227.30,228.50,225.41,227.52,36.6
9/27/2024,228.46,229.52,227.30,227.79,34.0
9/28/2024,,,,,
9/29/2024,,,,,
9/30/2024,230.04,233.00,229.65,233.00,54.8
10/1/2024,229.52,229.65,223.74,226.21,63.3
10/2/2024,225.89,227.37,223.02,226.78,32.9
10/3/2024,225.14,226.81,223.32,225.67,34.0
10/4/2024,227.90,228.00,224.13,226.80,37.3
10/5/2024,,,,,
10/6/2024,,,,,
10/7/2024,224.50,225.69,221.33,221.69,39.5
10/8/2024,224.30,225.98,223.25,225.77,31.9
10/9/2024,225.23,229.75,224.83,229.54,33.6
10/10/2024,227.78,229.50,227.17,229.04,28.2
10/11/2024,229.30,229.41,227.34,227.55,31.8
10/12/2024,,,,,
10/13/2024,,,,,
10/14/2024,228.70,231.73,228.60,231.30,39.9
10/15/2024,233.61,237.49,232.37,233.85,64.8
10/16/2024,231.60,232.12,229.84,231.78,34.1
10/17/2024,233.43,233.85,230.52,232.15,33.0
10/18/2024,236.18,236.18,234.01,235.00,46.4
10/19/2024,,,,,
10/20/2024,,,,,
10/21/2024,234.45,236.85,234.45,236.48,36.3
10/22/2024,233.88,236.22,232.60,235.86,38.8
10/23/2024,234.08,235.14,227.76,230.76,52.3
10/24/2024,229.98,230.82,228.41,230.57,31.1
10/25/2024,229.74,233.22,229.57,231.41,38.8
10/26/2024,,,,,
10/27/2024,,,,,
10/28/2024,233.32,234.73,232.55,233.40,36.1
10/29/2024,233.10,234.32,232.32,233.67,35.4
10/30/2024,232.61,233.47,229.55,230.10,47.1
10/31/2024,229.34,229.83,225.37,225.91,64.4
11/1/2024,220.97,225.35,220.27,222.91,65.3
11/2/2024,,,,,
11/3/2024,,,,,
11/4/2024,220.99,222.79,219.71,222.01,44.9
11/5/2024,221.79,223.95,221.14,223.45,28.1
11/6/2024,222.61,226.06,221.19,222.72,54.6
11/7/2024,224.63,227.88,224.57,227.48,42.1
11/8/2024,227.17,228.66,226.41,226.96,38.3
11/9/2024,,,,,
11/10/2024,,,,,
11/11/2024,225.00,225.70,221.50,224.23,42.0
11/12/2024,224.55,225.59,223.35,224.23,40.4
11/13/2024,224.01,226.65,222.76,225.12,48.6
11/14/2024,225.02,228.87,225.00,228.22,44.9
11/15/2024,226.40,226.92,224.27,225.00,47.9
11/16/2024,,,,,
11/17/2024,,,,,
11/18/2024,225.25,229.74,225.17,228.02,44.7
11/19/2024,226.98,230.16,226.66,228.28,36.2
11/20/2024,228.06,229.93,225.89,229.00,35.2
11/21/2024,228.88,230.16,225.71,228.52,42.1
11/22/2024,228.06,230.72,228.06,229.87,38.2
11/23/2024,,,,,
11/24/2024,,,,,
11/25/2024,231.46,233.25,229.74,232.87,90.2
11/26/2024,233.33,235.57,233.33,235.06,46.0
11/27/2024,234.47,235.69,233.81,234.93,33.5
11/28/2024,,,,,
11/29/2024,234.81,237.81,233.97,237.33,28.5
11/30/2024,,,,,
12/1/2024,,,,,
12/2/2024,237.27,240.79,237.16,239.59,48.1
12/3/2024,239.81,242.76,238.90,242.65,38.9
12/4/2024,242.87,244.11,241.25,243.01,44.4
